Player Name;Date;Day;Round;Venue;Result;Squad;Opponent;Start;Pos;Min;Gls;Ast;PK;PKatt;Sh;SoT;CrdY;CrdR;Touches;Tkl;Int;Blocks;xG;npxG;xAG;SCA;GCA;Cmp;Att;Cmp%;PrgP;Carries;PrgC;Att;Succ;Match Report
Virgil van Dijk;2024-01-21;Sun;Matchweek 21;Away;W 4–0;Liverpool;Bournemouth;Y*;CB;90;0;0;0;0;0;0;0;0;63;0;0;5;0.0;0.0;0.0;1;0;48;53;90.6;3;31;0;0;0;Match Report
Virgil van Dijk;2024-01-31;Wed;Matchweek 22;Home;W 4–1;Liverpool;Chelsea;Y*;CB;90;0;0;0;0;1;0;0;0;69;0;2;0;0.0;0.0;0.0;2;1;57;64;89.1;2;43;0;0;0;Match Report
Virgil van Dijk;2024-02-04;Sun;Matchweek 23;Away;L 1–3;Liverpool;Arsenal;Y*;CB;90;0;0;0;0;1;0;0;0;107;1;2;1;0.0;0.0;0.0;3;0;87;97;89.7;3;68;0;0;0;Match Report
Virgil van Dijk;2024-02-10;Sat;Matchweek 24;Home;W 3–1;Liverpool;Burnley;Y*;CB;90;0;0;0;0;1;1;0;0;109;0;0;0;0.2;0.2;0.0;2;0;95;103;92.2;8;66;2;0;0;Match Report
Virgil van Dijk;2024-02-17;Sat;Matchweek 25;Away;W 4–1;Liverpool;Brentford;Y*;CB;90;0;0;0;0;1;0;0;0;79;0;1;2;0.1;0.1;0.4;3;1;62;69;89.9;6;49;1;0;0;Match Report
Virgil van Dijk;2024-02-21;Wed;Matchweek 26;Home;W 4–1;Liverpool;Luton Town;Y*;CB;90;1;0;0;0;2;2;0;0;77;0;0;2;0.2;0.2;0.0;1;0;59;66;89.4;1;41;0;1;0;Match Report
Virgil van Dijk;2024-03-02;Sat;Matchweek 27;Away;W 1–0;Liverpool;Nott'ham Forest;Y*;CB;90;0;0;0;0;0;0;0;0;109;0;1;1;0.0;0.0;0.0;2;0;98;104;94.2;11;69;2;0;0;Match Report
Virgil van Dijk;2024-03-10;Sun;Matchweek 28;Home;D 1–1;Liverpool;Manchester City;Y*;CB;90;0;0;0;0;1;0;0;0;91;4;4;0;0.0;0.0;0.0;2;0;78;80;97.5;4;54;0;0;0;Match Report
Virgil van Dijk;2024-03-31;Sun;Matchweek 30;Home;W 2–1;Liverpool;Brighton;Y*;CB;90;0;0;0;0;0;0;1;0;57;0;0;3;0.0;0.0;0.0;3;0;45;51;88.2;3;31;2;0;0;Match Report
Virgil van Dijk;2024-04-04;Thu;Matchweek 31;Home;W 3–1;Liverpool;Sheffield Utd;Y*;CB;90;0;0;0;0;1;1;0;0;107;1;0;1;0.0;0.0;0.0;4;1;99;101;98.0;9;81;2;0;0;Match Report
Virgil van Dijk;2024-04-07;Sun;Matchweek 32;Away;D 2–2;Liverpool;Manchester Utd;Y*;CB;90;0;0;0;0;0;0;0;0;76;1;1;1;0.0;0.0;0.0;0;0;65;69;94.2;7;46;1;0;0;Match Report
Virgil van Dijk;2024-04-14;Sun;Matchweek 33;Home;L 0–1;Liverpool;Crystal Palace;Y*;CB;90;0;0;0;0;4;0;0;0;137;3;1;1;0.1;0.1;0.0;3;0;114;123;92.7;13;90;1;0;0;Match Report
Virgil van Dijk;2024-04-21;Sun;Matchweek 34;Away;W 3–1;Liverpool;Fulham;Y*;CB;90;0;0;0;0;0;0;0;0;107;0;0;0;0.0;0.0;0.0;0;0;95;102;93.1;2;79;0;0;0;Match Report
Virgil van Dijk;2024-04-24;Wed;Matchweek 29;Away;L 0–2;Liverpool;Everton;Y*;CB;90;0;0;0;0;2;1;1;0;116;1;0;1;0.1;0.1;0.0;4;0;94;108;87.0;16;71;2;1;1;Match Report
Virgil van Dijk;2024-04-27;Sat;Matchweek 35;Away;D 2–2;Liverpool;West Ham;Y*;CB;90;0;0;0;0;2;0;0;0;92;1;0;0;0.1;0.1;0.0;0;0;80;86;93.0;7;73;2;0;0;Match Report
Virgil van Dijk;2024-05-05;Sun;Matchweek 36;Home;W 4–2;Liverpool;Tottenham;Y*;CB;90;0;0;0;0;2;0;0;0;59;1;0;1;0.1;0.1;0.0;0;0;42;45;93.3;2;28;0;0;0;Match Report
Virgil van Dijk;2024-05-13;Mon;Matchweek 37;Away;D 3–3;Liverpool;Aston Villa;Y*;CB;90;0;0;0;0;0;0;0;0;97;1;0;3;0.0;0.0;0.0;0;0;79;84;94.0;4;52;0;0;0;Match Report
Virgil van Dijk;2024-05-19;Sun;Matchweek 38;Home;W 2–0;Liverpool;Wolves;Y*;CB;90;0;0;0;0;5;2;0;0;78;0;3;1;0.2;0.2;0.0;0;0;63;67;94.0;5;43;0;1;0;Match Report
Ryan Gravenberch;2023-09-16;Sat;Matchweek 5;Away;W 3–1;Liverpool;Wolves;N;RW;1;0;0;0;0;0;0;0;0;8;1;1;0;0.0;0.0;0.0;0;0;2;3;66.7;0;4;0;3;1;Match Report
Ryan Gravenberch;2023-09-24;Sun;Matchweek 6;Home;W 3–1;Liverpool;West Ham;N;LM;14;0;0;0;0;0;0;0;0;14;1;0;0;0.0;0.0;0.0;0;0;7;10;70.0;2;5;1;1;0;Match Report
Ryan Gravenberch;2023-09-30;Sat;Matchweek 7;Away;L 1–2;Liverpool;Tottenham;N;CM;11;0;0;0;0;0;0;0;0;2;0;0;0;0.0;0.0;0.0;0;0;1;1;100.0;0;1;0;0;0;Match Report
Ryan Gravenberch;2023-10-08;Sun;Matchweek 8;Away;D 2–2;Liverpool;Brighton;N;LM;45;0;0;0;0;2;1;0;0;30;0;1;2;0.7;0.7;0.0;2;0;15;20;75.0;4;21;2;2;1;Match Report
Ryan Gravenberch;2023-10-21;Sat;Matchweek 9;Home;W 2–0;Liverpool;Everton;Y;LM;61;0;0;0;0;1;0;0;0;39;1;3;0;0.1;0.1;0.0;4;0;31;32;96.9;5;23;3;3;1;Match Report
Ryan Gravenberch;2023-10-29;Sun;Matchweek 10;Home;W 3–0;Liverpool;Nott'ham Forest;Y;LM;58;0;0;0;0;1;1;0;0;26;1;0;0;0.0;0.0;0.0;1;0;20;21;95.2;2;14;0;2;1;Match Report
Ryan Gravenberch;2023-11-05;Sun;Matchweek 11;Away;D 1–1;Liverpool;Luton Town;Y;RM;82;0;0;0;0;1;1;0;0;49;1;2;2;0.0;0.0;0.3;4;0;32;35;91.4;10;29;4;4;2;Match Report
Ryan Gravenberch;2023-11-25;Sat;Matchweek 13;Away;D 1–1;Liverpool;Manchester City;N;LM;37;0;0;0;0;0;0;0;0;15;0;0;1;0.0;0.0;0.0;1;0;7;9;77.8;3;7;2;1;0;Match Report
